name = extended_platinum_ec
technique = EC
tstamp = 1580482722.0
backend_name = memory
id = 6
timecol 'time/s' for: 'raw potential / [V]' and 'raw current / [mA]' and '$U_{RHE}$ / [V]' and 'J / [mA cm$^{-2}$]' and 'selector'
N_header_lines = 9

time/s,	raw potential / [V],	raw current / [mA],	$U_{RHE}$ / [V],	J / [mA cm$^{-2}$],	selector
531.8250460624695,	-0.26128313,	0.0005955637477886196,	0.45371687,	0.0005955637477886196,	3,	
531.9791460037231,	-0.25818509,	0.0006045036102863225,	0.45681490999999996,	0.0006045036102863225,	3,	
532.1332459449768,	-0.2549454,	0.0006057169418948417,	0.4600546,	0.0006057169418948417,	3,	
532.2873458862305,	-0.25206372,	0.0006073305005230203,	0.46293628,	0.0006073305005230203,	3,	
532.4414460659027,	-0.24886622,	0.0006189383914322368,	0.46613377999999994,	0.0006189383914322368,	3,	
532.5955460071564,	-0.24572836,	0.0006220709525246362,	0.46927164,	0.0006220709525246362,	3,	
532.74964594841,	-0.24248503,	0.0006235852972897851,	0.47251497,	0.0006235852972897851,	3,	
532.9037458896637,	-0.23935249,	0.0006387901523977734,	0.47564750999999994,	0.0006387901523977734,	3,	
533.0578458309174,	-0.23618652,	0.0006452069556006968,	0.47881347999999996,	0.0006452069556006968,	3,	
533.2119460105896,	-0.23317388,	0.0006472038078997261,	0.48182611999999997,	0.0006472038078997261,	3,	
533.3660459518433,	-0.22999825,	0.0006491219850790191,	0.48500175,	0.0006491219850790191,	3,	
533.5201458930969,	-0.22694755,	0.0006610311185482384,	0.48805244999999997,	0.0006610311185482384,	3,	
533.6742458343506,	-0.22387671,	0.0006702917325521508,	0.49112329,	0.0006702917325521508,	3,	
533.8283460140228,	-0.22058336,	0.0006680618490382591,	0.49441663999999996,	0.0006680618490382591,	3,	
533.9824459552765,	-0.21745524,	0.0006815565993724924,	0.49754476,	0.0006815565993724924,	3,	
534.1365458965302,	-0.21439467,	0.0006937983645693025,	0.50060533,	0.0006937983645693025,	3,	
534.2906458377838,	-0.21135493,	0.0006929445435318489,	0.5036450699999999,	0.0006929445435318489,	3,	
534.444746017456,	-0.2080753,	0.0006994166262063164,	0.5069247,	0.0006994166262063164,	3,	
534.5988459587097,	-0.20497692,	0.0007187757688397502,	0.51002308,	0.0007187757688397502,	3,	
534.7529458999634,	-0.20189117,	0.0007208677354882693,	0.51310883,	0.0007208677354882693,	3,	
534.907045841217,	-0.19845161,	0.0007289582059847172,	0.51654839,	0.0007289582059847172,	3,	
535.0611460208893,	-0.19570087,	0.000737147744165792,	0.5192991299999999,	0.000737147744165792,	3,	
535.215245962143,	-0.19251876,	0.0007533413571838414,	0.52248124,	0.0007533413571838414,	3,	
535.3693459033966,	-0.1891381,	0.0007514961338995207,	0.5258619,	0.0007514961338995207,	3,	
535.5234458446503,	-0.18623081,	0.0007626454110227342,	0.52876919,	0.0007626454110227342,	3,	
535.6775460243225,	-0.1831127,	0.0007814772061470457,	0.5318873,	0.0007814772061470457,	3,	
535.8316459655762,	-0.17981786,	0.0007859800216394586,	0.53518214,	0.0007859800216394586,	3,	
535.9857459068298,	-0.17691827,	0.000791153311196573,	0.53808173,	0.000791153311196573,	3,	
536.1398458480835,	-0.17357445,	0.0008096874170870696,	0.54142555,	0.0008096874170870696,	3,	
536.2939460277557,	-0.17035003,	0.0008192673362029702,	0.5446499699999999,	0.0008192673362029702,	3,	
536.4480459690094,	-0.16745926,	0.0008226426462695426,	0.54754074,	0.0008226426462695426,	3,	
536.6021459102631,	-0.1643915,	0.0008377686058542511,	0.5506085,	0.0008377686058542511,	3,	
536.7562458515167,	-0.161236,	0.0008552474068935917,	0.5537639999999999,	0.0008552474068935917,	3,	
536.9103457927704,	-0.15808645,	0.0008670662682353039,	0.55691355,	0.0008670662682353039,	3,	
537.0644459724426,	-0.1550117,	0.00087359681499678,	0.5599883,	0.00087359681499678,	3,	
537.2185459136963,	-0.1519226,	0.0008897557484209978,	0.5630774,	0.0008897557484209978,	3,	
537.37264585495,	-0.1486019,	0.0009042954423735487,	0.5663981,	0.0009042954423735487,	3,	
537.5267457962036,	-0.14562213,	0.0009105687388791563,	0.56937787,	0.0009105687388791563,	3,	
537.6808459758759,	-0.14268383,	0.0009286135490835651,	0.5723161699999999,	0.0009286135490835651,	3,	
537.8349459171295,	-0.13982706,	0.0009484698982874483,	0.57517294,	0.0009484698982874483,	3,	
537.9890458583832,	-0.13682304,	0.0009591326367949056,	0.57817696,	0.0009591326367949056,	3,	
538.1431457996368,	-0.13354632,	0.0009732633402580963,	0.58145368,	0.0009732633402580963,	3,	
538.2972459793091,	-0.13049169,	0.0009942820358821158,	0.5845083099999999,	0.0009942820358821158,	3,	
538.4513459205627,	-0.12732089,	0.001011807935088552,	0.58767911,	0.001011807935088552,	3,	
538.6054458618164,	-0.12448567,	0.001026103192895176,	0.59051433,	0.001026103192895176,	3,	
538.7595458030701,	-0.12162206,	0.001044599493769033,	0.59337794,	0.001044599493769033,	3,	
538.9136459827423,	-0.11846481,	0.001075852454358879,	0.59653519,	0.001075852454358879,	3,	
539.067745923996,	-0.11537743,	0.001089959068212469,	0.59962257,	0.001089959068212469,	3,	
539.2218458652496,	-0.11235707,	0.001106282013775642,	0.60264293,	0.001106282013775642,	3,	
539.3759458065033,	-0.10919434,	0.001135078490513489,	0.6058056599999999,	0.001135078490513489,	3,	
539.5300459861755,	-0.10623025,	0.001163808973015989,	0.60876975,	0.001163808973015989,	3,	
539.6841459274292,	-0.10331874,	0.001179843860114053,	0.61168126,	0.001179843860114053,	3,	
539.8382458686829,	-0.10028784,	0.001211951334267304,	0.61471216,	0.001211951334267304,	3,	
539.9923458099365,	-0.097288266,	0.001243782553685201,	0.617711734,	0.001243782553685201,	3,	
540.1464457511902,	-0.094205528,	0.001271057008975503,	0.6207944719999999,	0.001271057008975503,	3,	
540.3005459308624,	-0.090979233,	0.001298544896993496,	0.624020767,	0.001298544896993496,	3,	
540.4546458721161,	-0.088108383,	0.001341410056396878,	0.626891617,	0.001341410056396878,	3,	
540.6087458133698,	-0.085134916,	0.001377126215449441,	0.629865084,	0.001377126215449441,	3,	
540.7628457546234,	-0.082165956,	0.001411946483233084,	0.632834044,	0.001411946483233084,	3,	
540.9169459342957,	-0.078897431,	0.001452180021446734,	0.636102569,	0.001452180021446734,	3,	
541.0710458755493,	-0.076094255,	0.00150180258566621,	0.638905745,	0.00150180258566621,	3,	
541.225145816803,	-0.072991095,	0.001535491590599129,	0.642008905,	0.001535491590599129,	3,	
541.3792457580566,	-0.070079759,	0.001579722252003238,	0.644920241,	0.001579722252003238,	3,	
541.5333459377289,	-0.066859283,	0.001636684096042642,	0.648140717,	0.001636684096042642,	3,	
541.6874458789825,	-0.063802443,	0.001682552888115585,	0.6511975569999999,	0.001682552888115585,	3,	
541.8415458202362,	-0.060838517,	0.001728352595058678,	0.654161483,	0.001728352595058678,	3,	
541.9956457614899,	-0.057867445,	0.001790166099404834,	0.657132555,	0.001790166099404834,	3,	
542.1497459411621,	-0.054613318,	0.00184541665974252,	0.660386682,	0.00184541665974252,	3,	
542.3038458824158,	-0.051684454,	0.001893192297779755,	0.663315546,	0.001893192297779755,	3,	
542.4579458236694,	-0.048952661,	0.001951934614627514,	0.666047339,	0.001951934614627514,	3,	
542.6120457649231,	-0.045694347,	0.00202224376245928,	0.669305653,	0.00202224376245928,	3,	
542.7661459445953,	-0.042443041,	0.002078596682071721,	0.672556959,	0.002078596682071721,	3,	
542.920245885849,	-0.039677743,	0.00213222316378751,	0.6753222569999999,	0.00213222316378751,	3,	
543.0743458271027,	-0.036388602,	0.002202150550810904,	0.6786113979999999,	0.002202150550810904,	3,	
543.2284457683563,	-0.033399366,	0.002262707084365606,	0.6816006339999999,	0.002262707084365606,	3,	
543.38254570961,	-0.030334799,	0.002313649911318078,	0.684665201,	0.002313649911318078,	3,	
543.5366458892822,	-0.02704468,	0.002380567336835865,	0.6879553199999999,	0.002380567336835865,	3,	
543.6907458305359,	-0.024167726,	0.002443038880359299,	0.6908322739999999,	0.002443038880359299,	3,	
543.8448457717896,	-0.02108001,	0.002496071898775112,	0.6939199899999999,	0.002496071898775112,	3,	
543.9989457130432,	-0.018011838,	0.002551519793021069,	0.696988162,	0.002551519793021069,	3,	
544.1530458927155,	-0.014727442,	0.002612208219694934,	0.700272558,	0.002612208219694934,	3,	
544.3071458339691,	-0.011561399,	0.002657646245032896,	0.703438601,	0.002657646245032896,	3,	
544.4612457752228,	-0.0083515607,	0.002700384399718585,	0.7066484393,	0.002700384399718585,	3,	
544.6153457164764,	-0.0052407337,	0.002747437278686475,	0.7097592663,	0.002747437278686475,	3,	
544.7694458961487,	-0.002521486,	0.002753506469191008,	0.712478514,	0.002753506469191008,	3,	
544.9235458374023,	0.00058010075,	0.0027998138297704,	0.71558010075,	0.0027998138297704,	3,	
545.077645778656,	0.0037007201,	0.002835704322175628,	0.7187007201,	0.002835704322175628,	3,	
545.2317457199097,	0.0068175984,	0.002867693549448507,	0.7218175983999999,	0.002867693549448507,	3,	
545.3858458995819,	0.010184702,	0.002888784001945009,	0.725184702,	0.002888784001945009,	3,	
545.5399458408356,	0.013220877,	0.00290544535192536,	0.7282208769999999,	0.00290544535192536,	3,	
545.6940457820892,	0.016223557,	0.002927927033786009,	0.731223557,	0.002927927033786009,	3,	
545.8481457233429,	0.019435957,	0.002942471934797464,	0.734435957,	0.002942471934797464,	3,	
546.0022459030151,	0.022513591,	0.002950526053189408,	0.7375135909999999,	0.002950526053189408,	3,	
546.1563458442688,	0.025817493,	0.002962847530540508,	0.740817493,	0.002962847530540508,	3,	
546.3104457855225,	0.028918084,	0.002980369883622495,	0.7439180839999999,	0.002980369883622495,	3,	
546.4645457267761,	0.031835221,	0.002987975518261986,	0.746835221,	0.002987975518261986,	3,	
546.6186456680298,	0.035000395,	0.002995976346333605,	0.7500003949999999,	0.002995976346333605,	3,	
546.772745847702,	0.038040709,	0.003022990621035636,	0.753040709,	0.003022990621035636,	3,	
546.9268457889557,	0.0415681,	0.003036616153430123,	0.7565681,	0.003036616153430123,	3,	
547.0809457302094,	0.044617712,	0.003043269576499613,	0.759617712,	0.003043269576499613,	3,	
547.235045671463,	0.047615435,	0.003066788468817448,	0.762615435,	0.003066788468817448,	3,	
547.3891458511353,	0.050699145,	0.003090764780504858,	0.7656991449999999,	0.003090764780504858,	3,	
547.5432457923889,	0.053846121,	0.003110078830859807,	0.7688461209999999,	0.003110078830859807,	3,	
547.6973457336426,	0.057001155,	0.003133691427985839,	0.772001155,	0.003133691427985839,	3,	
547.8514456748962,	0.060379911,	0.003166726135510816,	0.7753799109999999,	0.003166726135510816,	3,	
548.0055458545685,	0.063143343,	0.003189224688245965,	0.778143343,	0.003189224688245965,	3,	
548.1596457958221,	0.066297948,	0.00320185955306714,	0.781297948,	0.00320185955306714,	3,	
548.3137457370758,	0.069580197,	0.00322520771562218,	0.7845801969999999,	0.00322520771562218,	3,	
548.4678456783295,	0.072711982,	0.003239826951109848,	0.7877119819999999,	0.003239826951109848,	3,	
548.6219458580017,	0.075671442,	0.003227768915563502,	0.790671442,	0.003227768915563502,	3,	
548.7760457992554,	0.079009429,	0.003223974167786144,	0.7940094289999999,	0.003223974167786144,	3,	
548.930145740509,	0.081906304,	0.00319995997202692,	0.796906304,	0.00319995997202692,	3,	
549.0842456817627,	0.08517652,	0.003150942503578138,	0.80017652,	0.003150942503578138,	3,	
549.2383458614349,	0.088025816,	0.003090563313708647,	0.803025816,	0.003090563313708647,	3,	
549.3924458026886,	0.09132348,	0.003036763647059612,	0.80632348,	0.003036763647059612,	3,	
549.5465457439423,	0.094333246,	0.002957855498973358,	0.809333246,	0.002957855498973358,	3,	
549.7006456851959,	0.097478926,	0.002873899447419778,	0.8124789259999999,	0.002873899447419778,	3,	
549.8547456264496,	0.1003839,	0.002797188501898775,	0.8153838999999999,	0.002797188501898775,	3,	
550.0088458061218,	0.10337681,	0.002726007461583801,	0.81837681,	0.002726007461583801,	3,	
550.1629457473755,	0.1064246,	0.002640682353825995,	0.8214246,	0.002640682353825995,	3,	
550.3170456886292,	0.10944112,	0.002574845852146436,	0.8244411199999999,	0.002574845852146436,	3,	
550.4711456298828,	0.11268817,	0.002522114358535228,	0.82768817,	0.002522114358535228,	3,	
550.625245809555,	0.11541849,	0.002468055094024587,	0.83041849,	0.002468055094024587,	3,	
550.7793457508087,	0.11862998,	0.002416696875477381,	0.83362998,	0.002416696875477381,	3,	
550.9334456920624,	0.12160891,	0.002387198675576178,	0.8366089099999999,	0.002387198675576178,	3,	
551.087545633316,	0.12488208,	0.00235324490639356,	0.83988208,	0.00235324490639356,	3,	
551.2416458129883,	0.12785232,	0.002325589720404128,	0.84285232,	0.002325589720404128,	3,	
551.395745754242,	0.13094951,	0.002317323552569441,	0.84594951,	0.002317323552569441,	3,	
551.5498456954956,	0.1338032,	0.002310324004954766,	0.8488032,	0.002310324004954766,	3,	
551.7039456367493,	0.13682699,	0.00230289364809552,	0.85182699,	0.00230289364809552,	3,	
551.8580458164215,	0.13980177,	0.002306433958704196,	0.8548017699999999,	0.002306433958704196,	3,	
552.0121457576752,	0.14288132,	0.002314128347904357,	0.85788132,	0.002314128347904357,	3,	
552.1662456989288,	0.14598052,	0.002323288633508259,	0.86098052,	0.002323288633508259,	3,	
552.3203456401825,	0.14908664,	0.002332912747768148,	0.86408664,	0.002332912747768148,	3,	
552.4744458198547,	0.1518583,	0.002358430150824417,	0.8668583,	0.002358430150824417,	3,	
552.6285457611084,	0.15495946,	0.002386105208142079,	0.86995946,	0.002386105208142079,	3,	
552.7826457023621,	0.15783356,	0.002401564517317138,	0.87283356,	0.002401564517317138,	3,	
552.9367456436157,	0.16110317,	0.00243188763292523,	0.8761031699999999,	0.00243188763292523,	3,	
553.090845823288,	0.16406848,	0.002458391786324399,	0.8790684799999999,	0.002458391786324399,	3,	
553.2449457645416,	0.16721649,	0.00248731758526307,	0.88221649,	0.00248731758526307,	3,	
553.3990457057953,	0.17002785,	0.002524798249618879,	0.88502785,	0.002524798249618879,	3,	
553.553145647049,	0.17318939,	0.002557662591946508,	0.88818939,	0.002557662591946508,	3,	
553.7072455883026,	0.17633697,	0.002600323743905446,	0.89133697,	0.002600323743905446,	3,	
553.8613457679749,	0.17924041,	0.002639496595023098,	0.89424041,	0.002639496595023098,	3,	
554.0154457092285,	0.18244363,	0.002679437612079916,	0.8974436299999999,	0.002679437612079916,	3,	
554.1695456504822,	0.18527515,	0.002723810052432999,	0.9002751499999999,	0.002723810052432999,	3,	
554.3236455917358,	0.18833835,	0.002775753395873372,	0.90333835,	0.002775753395873372,	3,	
554.4777457714081,	0.19137947,	0.002815110992077048,	0.90637947,	0.002815110992077048,	3,	
554.6318457126617,	0.19462629,	0.002881649780058497,	0.90962629,	0.002881649780058497,	3,	
554.7859456539154,	0.19769818,	0.00292027571467899,	0.91269818,	0.00292027571467899,	3,	
554.9400455951691,	0.20072874,	0.002973736278783189,	0.9157287399999999,	0.002973736278783189,	3,	
555.0941457748413,	0.20370337,	0.00301711670131171,	0.91870337,	0.00301711670131171,	3,	
555.248245716095,	0.20674534,	0.003074781836555143,	0.92174534,	0.003074781836555143,	3,	
555.4023456573486,	0.20993379,	0.003129476377160371,	0.92493379,	0.003129476377160371,	3,	
555.5564455986023,	0.2131297,	0.003174672559835022,	0.9281297,	0.003174672559835022,	3,	
555.7105457782745,	0.21612503,	0.003224674204627655,	0.93112503,	0.003224674204627655,	3,	
555.8646457195282,	0.21924171,	0.003287197396946717,	0.93424171,	0.003287197396946717,	3,	
556.0187456607819,	0.22208126,	0.00332171192612298,	0.93708126,	0.00332171192612298,	3,	
556.1728456020355,	0.22537805,	0.003371936081526312,	0.94037805,	0.003371936081526312,	3,	
556.3269457817078,	0.22857128,	0.003427683709936215,	0.94357128,	0.003427683709936215,	3,	
556.4810457229614,	0.23172954,	0.00346824803748487,	0.94672954,	0.00346824803748487,	3,	
556.6351456642151,	0.23493801,	0.00353070166948101,	0.94993801,	0.00353070166948101,	3,	
556.7892456054688,	0.23803651,	0.003572723080875376,	0.95303651,	0.003572723080875376,	3,	
556.9433455467224,	0.24115664,	0.003606431707573673,	0.95615664,	0.003606431707573673,	3,	
557.0974457263947,	0.24419196,	0.003642315176272379,	0.95919196,	0.003642315176272379,	3,	
557.2515456676483,	0.24740757,	0.003681153341514337,	0.96240757,	0.003681153341514337,	3,	
557.405645608902,	0.25042689,	0.003736023647913277,	0.96542689,	0.003736023647913277,	3,	
557.5597455501556,	0.25377148,	0.003764071731070386,	0.96877148,	0.003764071731070386,	3,	
557.7138457298279,	0.2569077,	0.003801049933320394,	0.9719077,	0.003801049933320394,	3,	
557.8679456710815,	0.25991839,	0.00384848502209903,	0.97491839,	0.00384848502209903,	3,	
558.0220456123352,	0.26270807,	0.003876999776367809,	0.97770807,	0.003876999776367809,	3,	
558.1761455535889,	0.26617077,	0.003902142108242357,	0.98117077,	0.003902142108242357,	3,	
558.3302457332611,	0.26913804,	0.003952393812502474,	0.9841380399999999,	0.003952393812502474,	3,	
558.4843456745148,	0.27242419,	0.003976145877046477,	0.98742419,	0.003976145877046477,	3,	
558.6384456157684,	0.27568239,	0.004023916410293898,	0.9906823899999999,	0.004023916410293898,	3,	
558.7925455570221,	0.27865911,	0.004051864925312509,	0.99365911,	0.004051864925312509,	3,	
558.9466457366943,	0.28153896,	0.004083195652778232,	0.99653896,	0.004083195652778232,	3,	
559.100745677948,	0.2848798,	0.004104805321752489,	0.9998798,	0.004104805321752489,	3,	
559.2548456192017,	0.28803143,	0.004142507714369026,	1.00303143,	0.004142507714369026,	3,	
559.4089455604553,	0.29138845,	0.004170857419823829,	1.00638845,	0.004170857419823829,	3,	
559.5630457401276,	0.29433417,	0.004206444285079797,	1.00933417,	0.004206444285079797,	3,	
559.7171456813812,	0.29749727,	0.004224170291263443,	1.01249727,	0.004224170291263443,	3,	
559.8712456226349,	0.30046207,	0.004266317549673208,	1.0154620699999999,	0.004266317549673208,	3,	
560.0253455638885,	0.30353788,	0.004289870909304036,	1.01853788,	0.004289870909304036,	3,	
560.1794455051422,	0.30671713,	0.004320623895253957,	1.0217171299999999,	0.004320623895253957,	3,	
560.3335456848145,	0.31011859,	0.004355580084801712,	1.02511859,	0.004355580084801712,	3,	
560.4876456260681,	0.31311527,	0.004395360255645506,	1.02811527,	0.004395360255645506,	3,	
560.6417455673218,	0.31595501,	0.0044196799576523,	1.03095501,	0.0044196799576523,	3,	
560.7958455085754,	0.31920499,	0.004459748532347119,	1.03420499,	0.004459748532347119,	3,	
560.9499456882477,	0.32230875,	0.004483510085279058,	1.03730875,	0.004483510085279058,	3,	
561.1040456295013,	0.32561055,	0.004519868599598759,	1.04061055,	0.004519868599598759,	3,	
561.258145570755,	0.32850376,	0.00455671514626739,	1.04350376,	0.00455671514626739,	3,	
561.4122455120087,	0.33163565,	0.00459026764409716,	1.04663565,	0.00459026764409716,	3,	
561.5663456916809,	0.33463404,	0.004625591745956434,	1.04963404,	0.004625591745956434,	3,	
561.7204456329346,	0.33764693,	0.004672006770206683,	1.0526469299999999,	0.004672006770206683,	3,	
561.8745455741882,	0.34079054,	0.004701008034866658,	1.0557905399999998,	0.004701008034866658,	3,	
562.0286455154419,	0.34402487,	0.004739168552612837,	1.05902487,	0.004739168552612837,	3,	
562.1827456951141,	0.34689271,	0.004777627044282553,	1.06189271,	0.004777627044282553,	3,	
562.3368456363678,	0.34987089,	0.004828623695008541,	1.06487089,	0.004828623695008541,	3,	
562.4909455776215,	0.35289222,	0.004875116406592384,	1.06789222,	0.004875116406592384,	3,	
562.6450455188751,	0.35604858,	0.004914348671408136,	1.07104858,	0.004914348671408136,	3,	
562.7991456985474,	0.35913801,	0.00496281093709218,	1.07413801,	0.00496281093709218,	3,	
562.953245639801,	0.36206725,	0.004995260458091726,	1.07706725,	0.004995260458091726,	3,	
563.1073455810547,	0.36512345,	0.005034975770601843,	1.0801234499999999,	0.005034975770601843,	3,	
563.2614455223083,	0.36822802,	0.005094351660052131,	1.08322802,	0.005094351660052131,	3,	
563.415545463562,	0.3712202,	0.005126845939798945,	1.0862202,	0.005126845939798945,	3,	
563.5696456432343,	0.37416622,	0.005172121347925576,	1.08916622,	0.005172121347925576,	3,	
563.7237455844879,	0.37721643,	0.005224785836393873,	1.09221643,	0.005224785836393873,	3,	
563.8778455257416,	0.38042971,	0.00526906982222046,	1.09542971,	0.00526906982222046,	3,	
564.0319454669952,	0.38344994,	0.005303771178404203,	1.09844994,	0.005303771178404203,	3,	
564.1398456096649,	0.38550842,	0.005365925624561438,	1.10050842,	0.005365925624561438,	3,	
564.1705455780029,	0.38624614,	0.005253155250102282,	1.10124614,	0.005253155250102282,	3,	
564.2552456855774,	0.38433093,	0.003559044594080206,	1.09933093,	0.003559044594080206,	4,	
564.409345626831,	0.38113856,	0.0026790825657171,	1.09613856,	0.0026790825657171,	4,	
564.5634455680847,	0.37796035,	0.002097705983218415,	1.09296035,	0.002097705983218415,	4,	
564.7175455093384,	0.37488791,	0.001676711562981735,	1.0898879099999998,	0.001676711562981735,	4,	
564.871645450592,	0.37178054,	0.001333506069516903,	1.08678054,	0.001333506069516903,	4,	
565.0257456302643,	0.36868012,	0.001067452830457278,	1.08368012,	0.001067452830457278,	4,	
565.179845571518,	0.36555308,	0.0008370596009150463,	1.08055308,	0.0008370596009150463,	4,	
565.3339455127716,	0.36254546,	0.0006505820189226471,	1.07754546,	0.0006505820189226471,	4,	
565.4880454540253,	0.35913262,	0.0004827490356488192,	1.0741326199999999,	0.0004827490356488192,	4,	
565.6421456336975,	0.35610464,	0.0003383529730904035,	1.07110464,	0.0003383529730904035,	4,	
565.7962455749512,	0.35292742,	0.0002076903893753401,	1.06792742,	0.0002076903893753401,	4,	
565.9503455162048,	0.34988701,	0.0001017587258829229,	1.06488701,	0.0001017587258829229,	4,	
566.1044454574585,	0.3466967,	-5.147761560333225e-06,	1.0616967,	-5.147761560333225e-06,	4,	
566.2585456371307,	0.34366491,	-8.397401398759245e-05,	1.05866491,	-8.397401398759245e-05,	4,	
566.4126455783844,	0.34043321,	-0.000170313890492625,	1.05543321,	-0.000170313890492625,	4,	
566.5667455196381,	0.33741924,	-0.000251169307353508,	1.0524192399999999,	-0.000251169307353508,	4,	
566.7208454608917,	0.33428201,	-0.00031592940544553,	1.04928201,	-0.00031592940544553,	4,	
566.874945640564,	0.33113962,	-0.0003812662678486932,	1.04613962,	-0.0003812662678486932,	4,	
567.0290455818176,	0.32808095,	-0.0004532657824198455,	1.04308095,	-0.0004532657824198455,	4,	
567.1831455230713,	0.32494384,	-0.0005040135353839414,	1.0399438399999998,	-0.0005040135353839414,	4,	
567.337245464325,	0.32188949,	-0.000555594115355113,	1.03688949,	-0.000555594115355113,	4,	
567.4913456439972,	0.31873751,	-0.0006116793272674375,	1.03373751,	-0.0006116793272674375,	4,	
567.6454455852509,	0.31586868,	-0.000669133083046526,	1.03086868,	-0.000669133083046526,	4,	
567.7995455265045,	0.31271696,	-0.0007157421123264694,	1.02771696,	-0.0007157421123264694,	4,	
567.9536454677582,	0.30964541,	-0.0007587474447601078,	1.02464541,	-0.0007587474447601078,	4,	
568.1077454090118,	0.30644763,	-0.0008142145053349498,	1.02144763,	-0.0008142145053349498,	4,	
568.2618455886841,	0.30358535,	-0.0008513956138232349,	1.01858535,	-0.0008513956138232349,	4,	
568.4159455299377,	0.30054939,	-0.0008916060767266646,	1.0155493899999999,	-0.0008916060767266646,	4,	
568.5700454711914,	0.29754755,	-0.0009461912386928596,	1.0125475499999999,	-0.0009461912386928596,	4,	
568.7241454124451,	0.29446974,	-0.0009822049345826686,	1.00946974,	-0.0009822049345826686,	4,	
568.8782455921173,	0.29154047,	-0.001022616669723166,	1.00654047,	-0.001022616669723166,	4,	
569.032345533371,	0.28855625,	-0.001068879114751804,	1.00355625,	-0.001068879114751804,	4,	
569.1864454746246,	0.28545183,	-0.001109114766442102,	1.00045183,	-0.001109114766442102,	4,	
569.3405454158783,	0.28223473,	-0.001144228133313229,	0.99723473,	-0.001144228133313229,	4,	
569.4946455955505,	0.27933982,	-0.001189564141080504,	0.99433982,	-0.001189564141080504,	4,	
569.6487455368042,	0.27624586,	-0.001226054377965896,	0.99124586,	-0.001226054377965896,	4,	
569.8028454780579,	0.27321726,	-0.001280171784255415,	0.98821726,	-0.001280171784255415,	4,	
569.9569454193115,	0.27027559,	-0.001305168048125473,	0.98527559,	-0.001305168048125473,	4,	
570.1110455989838,	0.26702365,	-0.001350948112914757,	0.9820236499999999,	-0.001350948112914757,	4,	
570.2651455402374,	0.26408058,	-0.00138492799063622,	0.97908058,	-0.00138492799063622,	4,	
570.4192454814911,	0.26112789,	-0.001425621399883049,	0.9761278899999999,	-0.001425621399883049,	4,	
570.5733454227448,	0.25801891,	-0.001464851809830995,	0.97301891,	-0.001464851809830995,	4,	
570.727445602417,	0.25504875,	-0.001505253160733109,	0.9700487499999999,	-0.001505253160733109,	4,	
570.8815455436707,	0.25195175,	-0.001541124198577961,	0.96695175,	-0.001541124198577961,	4,	
571.0356454849243,	0.2488382,	-0.001584307629581293,	0.9638382,	-0.001584307629581293,	4,	
571.189745426178,	0.24598806,	-0.001615627042358944,	0.96098806,	-0.001615627042358944,	4,	
571.3438453674316,	0.24294667,	-0.001657342915731466,	0.95794667,	-0.001657342915731466,	4,	
571.4979455471039,	0.23996748,	-0.001697699176238209,	0.95496748,	-0.001697699176238209,	4,	
571.6520454883575,	0.23691313,	-0.001729328409699646,	0.95191313,	-0.001729328409699646,	4,	
571.8061454296112,	0.23387302,	-0.001784576616195532,	0.94887302,	-0.001784576616195532,	4,	
571.9602453708649,	0.23063475,	-0.001819152475932527,	0.94563475,	-0.001819152475932527,	4,	
572.1143455505371,	0.22774452,	-0.001845899780582666,	0.94274452,	-0.001845899780582666,	4,	
572.2684454917908,	0.22475593,	-0.001878689776627501,	0.93975593,	-0.001878689776627501,	4,	
572.4225454330444,	0.22158426,	-0.001916556968110459,	0.93658426,	-0.001916556968110459,	4,	
572.5766453742981,	0.2185687,	-0.001955737814445186,	0.9335686999999999,	-0.001955737814445186,	4,	
572.7307455539703,	0.21559002,	-0.001984041726427223,	0.9305900199999999,	-0.001984041726427223,	4,	
572.884845495224,	0.21250865,	-0.002019503870769809,	0.9275086499999999,	-0.002019503870769809,	4,	
573.0389454364777,	0.20950842,	-0.002059504207902258,	0.92450842,	-0.002059504207902258,	4,	
573.1930453777313,	0.20621116,	-0.002081619316454767,	0.9212111599999999,	-0.002081619316454767,	4,	
573.3471455574036,	0.20323427,	-0.002109492848325116,	0.9182342699999999,	-0.002109492848325116,	4,	
573.5012454986572,	0.20015326,	-0.002150849591273839,	0.91515326,	-0.002150849591273839,	4,	
573.6553454399109,	0.19709349,	-0.002171775847132462,	0.91209349,	-0.002171775847132462,	4,	
573.8094453811646,	0.19415997,	-0.002206666465932011,	0.9091599699999999,	-0.002206666465932011,	4,	
573.9635455608368,	0.19090097,	-0.002234324987413085,	0.90590097,	-0.002234324987413085,	4,	
574.1176455020905,	0.18784344,	-0.002258599913975166,	0.9028434399999999,	-0.002258599913975166,	4,	
574.2718453407288,	0.18458237,	-0.002273045932208139,	0.89958237,	-0.002273045932208139,	4,	
574.4258453845978,	0.18124817,	-0.002299989411551281,	0.89624817,	-0.002299989411551281,	4,	
574.5800454616547,	0.17843542,	-0.002320965461614883,	0.89343542,	-0.002320965461614883,	4,	
574.7340455055237,	0.1751489,	-0.002339791487750084,	0.8901489,	-0.002339791487750084,	4,	
574.888245344162,	0.1722948,	-0.002350391948606,	0.8872947999999999,	-0.002350391948606,	4,	
575.042245388031,	0.16887477,	-0.002374094487492675,	0.88387477,	-0.002374094487492675,	4,	
