name = extended_platinum_ec
technique = EC
tstamp = 1580482722.0
backend_name = memory
id = 6
timecol 'time/s' for: 'raw potential / [V]' and 'raw current / [mA]' and '$U_{RHE}$ / [V]' and 'J / [mA cm$^{-2}$]' and 'selector'
N_header_lines = 9

time/s,	raw potential / [V],	raw current / [mA],	$U_{RHE}$ / [V],	J / [mA cm$^{-2}$],	selector
67.46835160255432,	1.1511674,	0.050012648,	1.8661674000000001,	0.050012648,	0,	
67.96835160255432,	1.1516062,	0.050003745,	1.8666062,	0.050003745,	0,	
68.46835160255432,	1.1513009,	0.050006285,	1.8663009000000002,	0.050006285,	0,	
68.96835160255432,	1.1511102,	0.050006922,	1.8661102,	0.050006922,	0,	
69.46835160255432,	1.1515681,	0.050002467,	1.8665680999999998,	0.050002467,	0,	
69.96835160255432,	1.1507096,	0.050009467,	1.8657096000000002,	0.050009467,	0,	
70.46835160255432,	1.1504234,	0.050011374,	1.8654234,	0.050011374,	0,	
70.96835160255432,	1.1497748,	0.050015192,	1.8647748000000002,	0.050015192,	0,	
71.46835160255432,	1.149565,	0.0500171,	1.8645649999999998,	0.0500171,	0,	
71.96835160255432,	1.1493361,	0.050021552,	1.8643361,	0.050021552,	0,	
72.46835160255432,	1.1488591,	0.050024737,	1.8638591,	0.050024737,	0,	
72.96835160255432,	1.1493361,	0.050013918,	1.8643361,	0.050013918,	0,	
73.46835160255432,	1.1492978,	0.050012648,	1.8642978000000001,	0.050012648,	0,	
73.96835160255432,	1.1497939,	0.050011374,	1.8647939,	0.050011374,	0,	
74.46835160255432,	1.1502708,	0.050013918,	1.8652707999999998,	0.050013918,	0,	
74.96835160255432,	1.1504806,	0.050014555,	1.8654806000000002,	0.050014555,	0,	
75.46835160255432,	1.1502517,	0.050010741,	1.8652517,	0.050010741,	0,	
75.96835136413574,	1.1501755,	0.050005015,	1.8651754999999999,	0.050005015,	0,	
76.46835136413574,	1.1504806,	0.05000056,	1.8654806000000002,	0.05000056,	0,	
76.96835136413574,	1.1511292,	0.050003745,	1.8661292,	0.050003745,	0,	
77.46835136413574,	1.1507478,	0.050006922,	1.8657477999999998,	0.050006922,	0,	
77.96835136413574,	1.1502899,	0.050006922,	1.8652899,	0.050006922,	0,	
78.46835136413574,	1.1506904,	0.050002467,	1.8656904,	0.050002467,	0,	
78.96835136413574,	1.1515299,	0.050001834,	1.8665299000000002,	0.050001834,	0,	
79.46835136413574,	1.1512818,	0.050005015,	1.8662817999999999,	0.050005015,	0,	
79.96835136413574,	1.1509767,	0.050006922,	1.8659767,	0.050006922,	0,	
80.46835136413574,	1.1509194,	0.0500101,	1.8659194000000001,	0.0500101,	0,	
80.96835136413574,	1.1516062,	0.050013918,	1.8666062,	0.050013918,	0,	
81.46835136413574,	1.1513772,	0.050012648,	1.8663772,	0.050012648,	0,	
81.96835136413574,	1.1511292,	0.050021552,	1.8661292,	0.050021552,	0,	
82.46835136413574,	1.150576,	0.0500241,	1.865576,	0.0500241,	0,	
82.96835136413574,	1.1500419,	0.05002537,	1.8650419,	0.05002537,	0,	
83.46835136413574,	1.1497939,	0.050029822,	1.8647939,	0.050029822,	0,	
