name = extended_platinum_ec
technique = EC
tstamp = 1580480022.0
backend_name = BackendBase(none, address=none)
id = 7
timecol 'time/s' for: '$U_{RHE}$ / [V]' and '<I>/mA' and 'selector'
aliases = {"t": ["time/s"], "raw_potential": ["$U_{RHE}$ / [V]"], "raw_current": ["<I>/mA"], "selector": ["selector"]}
N_header_lines = 10

time/s,	$U_{RHE}$ / [V],	<I>/mA,	selector
150.69948315620422,	0.36953108999999995,	1.118394812405446e-05,	1,	
150.85348320007324,	0.3665848,	7.792362009818209e-06,	1,	
151.00768327713013,	0.36375190999999996,	6.837733349791906e-06,	1,	
151.16168332099915,	0.36043253,	7.91299755953918e-06,	1,	
151.31588315963745,	0.35751274,	4.181441296423929e-06,	1,	
151.46988320350647,	0.35447000999999995,	2.705847784940186e-06,	1,	
151.62408328056335,	0.35155546,	5.059433596351993e-06,	1,	
151.77808332443237,	0.34851062,	4.310405098665836e-06,	1,	
151.93228316307068,	0.34530782,	1.592350716804345e-06,	1,	
152.0862832069397,	0.34243786,	2.914605738344235e-06,	1,	
152.24048328399658,	0.33926689,	3.357945698513933e-06,	1,	
152.3944833278656,	0.33625486,	8.750974714048937e-07,	1,	
152.5486831665039,	0.33298212,	3.809276000278888e-07,	1,	
152.70268321037292,	0.33022764,	2.917432079182317e-06,	1,	
152.8568832874298,	0.32710220999999995,	1.002264885801734e-07,	1,	
153.01088333129883,	0.32403405999999996,	-1.089952457244177e-06,	1,	
153.16508316993713,	0.32085879999999994,	2.365429916432812e-06,	1,	
153.31908321380615,	0.31766456,	2.092430091504859e-07,	1,	
153.47328329086304,	0.31483586999999996,	-8.262839308330044e-07,	1,	
153.62728333473206,	0.31178145999999995,	2.241210210623127e-06,	1,	
153.78148317337036,	0.30838897,	2.39778461072782e-06,	1,	
153.93548321723938,	0.30500605,	-1.024922188672718e-06,	1,	
154.08968329429626,	0.30225261999999997,	1.631388058089419e-06,	1,	
154.24378323554993,	0.29896941,	3.248639983386049e-06,	1,	
154.3978831768036,	0.29595836999999997,	1.233238409902388e-06,	1,	
154.55198311805725,	0.29276713,	6.474918338438757e-07,	1,	
154.7060832977295,	0.28969058,	4.237362181171399e-06,	1,	
154.86018323898315,	0.28646317,	1.968185186977735e-06,	1,	
155.01428318023682,	0.28316845999999996,	9.914957574372294e-07,	1,	
155.16838312149048,	0.28018414999999997,	2.736051827119774e-06,	1,	
155.32248330116272,	0.27683918999999996,	4.063476430459257e-06,	1,	
155.47658324241638,	0.27364777999999995,	2.709445934219246e-07,	1,	
155.63068318367004,	0.27049616,	3.746336094051259e-06,	1,	
155.7847831249237,	0.26770004,	4.13142222874725e-06,	1,	
155.93888330459595,	0.26449438999999997,	1.231353871416027e-06,	1,	
156.0929832458496,	0.26134001999999995,	3.529278607197987e-06,	1,	
156.24708318710327,	0.25814076999999996,	5.243921723323578e-06,	1,	
156.40118312835693,	0.25491758999999997,	1.615845029562297e-06,	1,	
156.55528330802917,	0.25202350999999995,	2.318021965397573e-06,	1,	
156.70938324928284,	0.24881010999999997,	5.10479028590983e-06,	1,	
156.8634831905365,	0.24533279999999996,	3.067286971484976e-06,	1,	
157.01758313179016,	0.24228655999999998,	9.866469012243915e-07,	1,	
157.17168307304382,	0.23911588999999994,	2.670505779302215e-06,	1,	
157.32578325271606,	0.23583558,	3.376427725807948e-06,	1,	
157.47988319396973,	0.23288308999999996,	-8.79780683637803e-07,	1,	
157.6339831352234,	0.22975363999999998,	1.15596842342796e-06,	1,	
157.78808307647705,	0.22649133,	2.024443076685706e-06,	1,	
157.9421832561493,	0.22324576999999995,	-2.098245045091612e-06,	1,	
158.09628319740295,	0.22055210999999997,	-2.250604582924245e-06,	1,	
158.25038313865662,	0.21722676999999996,	-1.624357221572603e-06,	1,	
158.40448307991028,	0.21406808,	-4.360795585047568e-06,	1,	
158.55858325958252,	0.21099742999999993,	-6.51095668073881e-06,	1,	
158.71268320083618,	0.20803669000000002,	-5.578939470280372e-06,	1,	
158.86678314208984,	0.20491459999999995,	-8.17625676804423e-06,	1,	
159.0208830833435,	0.20183458999999992,	-1.144864844677856e-05,	1,	
159.17498326301575,	0.19858010999999998,	-1.245239554886036e-05,	1,	
159.3290832042694,	0.19558586999999994,	-1.277187790541548e-05,	1,	
159.48318314552307,	0.19251116999999995,	-1.791922174799017e-05,	1,	
159.63728308677673,	0.18952265000000001,	-1.890217719727864e-05,	1,	
159.79138326644897,	0.18663587999999998,	-1.968917422510662e-05,	1,	
159.94548320770264,	0.18347742999999994,	-2.556827532700078e-05,	1,	
160.0995831489563,	0.18044671,	-2.80310968782181e-05,	1,	
160.25368309020996,	0.17739828999999996,	-2.827128141753258e-05,	1,	
160.40778303146362,	0.17439903999999995,	-3.381961623397166e-05,	1,	
160.56188321113586,	0.17138697999999997,	-3.820633594568408e-05,	1,	
160.71598315238953,	0.16846587999999996,	-3.966828685889729e-05,	1,	
160.8700830936432,	0.16547217999999997,	-4.338144462598793e-05,	1,	
161.02418303489685,	0.16256286999999991,	-5.034731337554238e-05,	1,	
161.1782832145691,	0.15948732999999993,	-5.374579711255848e-05,	1,	
161.33238315582275,	0.15634592999999997,	-5.588091383626243e-05,	1,	
161.48648309707642,	0.15317192000000002,	-6.200702707446208e-05,	1,	
161.64058303833008,	0.15018560999999997,	-6.629191146086073e-05,	1,	
161.79468321800232,	0.14726445,	-6.840121855863191e-05,	1,	
161.94878315925598,	0.14446147999999992,	-7.65527946096029e-05,	1,	
162.10288310050964,	0.14135381000000002,	-8.294213134522085e-05,	1,	
162.2569830417633,	0.13820054999999998,	-8.512819923774985e-05,	1,	
162.41108322143555,	0.13506492999999997,	-9.163312683883488e-05,	1,	
162.5651831626892,	0.13232149999999998,	-9.91369516319411e-05,	1,	
162.71928310394287,	0.12915948,	-0.0001041736440067346,	1,	
162.87338304519653,	0.12616165999999995,	-0.0001109423787985691,	1,	
163.02748322486877,	0.12306656999999999,	-0.0001197003779897891,	1,	
163.18158316612244,	0.12029066,	-0.0001276633086553247,	1,	
163.3356831073761,	0.11714961999999995,	-0.0001307946839553893,	1,	
163.48978304862976,	0.11413242999999995,	-0.0001401277567875508,	1,	
163.643883228302,	0.11094859000000001,	-0.0001483906123640182,	1,	
163.79798316955566,	0.10810038,	-0.0001555125211844549,	1,	
163.95208311080933,	0.10503049999999992,	-0.0001645987457885418,	1,	
164.106183052063,	0.10171409999999992,	-0.0001763260970960834,	1,	
