name = extended_platinum_ec
technique = EC
tstamp = 1580480022.0
backend_name = BackendBase(none, address=none)
id = 7
timecol 'time/s' for: '$U_{RHE}$ / [V]' and '<I>/mA' and 'selector'
aliases = {"t": ["time/s"], "raw_potential": ["$U_{RHE}$ / [V]"], "raw_current": ["<I>/mA"], "selector": ["selector"]}
N_header_lines = 10

time/s,	$U_{RHE}$ / [V],	<I>/mA,	selector
251.7127821445465,	0.678848375,	-0.001166247698002814,	1,	
251.86688208580017,	0.675851103,	-0.001114482165241687,	1,	
252.02098202705383,	0.67250707,	-0.001073271972529604,	1,	
252.1750819683075,	0.669384081,	-0.001016244620077959,	1,	
252.32918214797974,	0.666306615,	-0.0009684430730568568,	1,	
252.4832820892334,	0.6630399969999999,	-0.0009297163696481269,	1,	
252.63738203048706,	0.6600337549999999,	-0.000882289587796287,	1,	
252.79148197174072,	0.6569905389999999,	-0.000847326043132356,	1,	
252.94558191299438,	0.6536756459999999,	-0.0008155009869626976,	1,	
253.09968209266663,	0.650606174,	-0.0007767774009161572,	1,	
253.2537820339203,	0.6475631629999999,	-0.0007454872186148922,	1,	
253.40788197517395,	0.644699801,	-0.0007183389904440725,	1,	
253.5619819164276,	0.641141664,	-0.0006879136968472224,	1,	
253.71608209609985,	0.63794874,	-0.0006605961757370233,	1,	
253.87018203735352,	0.635209825,	-0.0006369209928893966,	1,	
254.02428197860718,	0.631707456,	-0.0006219897586759778,	1,	
254.17838191986084,	0.6284117659999999,	-0.0005930289849082754,	1,	
254.33248209953308,	0.625488419,	-0.0005727466145658737,	1,	
254.48658204078674,	0.622348879,	-0.0005548033060161304,	1,	
254.6406819820404,	0.619249258,	-0.0005355369107798219,	1,	
254.79478192329407,	0.6160250119999999,	-0.0005160563958880038,	1,	
254.9488821029663,	0.61307581,	-0.0005086505711602244,	1,	
255.10298204421997,	0.60997877,	-0.0004860555584899999,	1,	
255.25708198547363,	0.6069044699999999,	-0.0004730911522843745,	1,	
255.4111819267273,	0.60375295,	-0.0004647736138158071,	1,	
255.56528210639954,	0.60066213,	-0.0004504346046025655,	1,	
255.7193820476532,	0.59758547,	-0.0004394630773355487,	1,	
255.87348198890686,	0.59448549,	-0.0004399335999462801,	1,	
256.0275819301605,	0.59146937,	-0.0004250896867158561,	1,	
256.1816818714142,	0.58829614,	-0.00041417210236002,	1,	
256.3357820510864,	0.58543057,	-0.0004080605547864737,	1,	
256.4898819923401,	0.5821693099999999,	-0.0004059330065333002,	1,	
256.64398193359375,	0.5792919799999999,	-0.0003973542570408764,	1,	
256.7980818748474,	0.57639648,	-0.0003928411451487268,	1,	
256.95218205451965,	0.57340677,	-0.0003942497066424214,	1,	
257.1062819957733,	0.57017637,	-0.0003882376607609248,	1,	
257.260381937027,	0.56703092,	-0.000381746977624573,	1,	
257.41448187828064,	0.56424455,	-0.0003882315120802165,	1,	
257.5685820579529,	0.56130284,	-0.0003812911972686872,	1,	
257.72268199920654,	0.55834666,	-0.0003797638920827418,	1,	
257.8767819404602,	0.55504675,	-0.0003914306599661205,	1,	
258.03088188171387,	0.5520587499999999,	-0.0003846920755736258,	1,	
258.1849820613861,	0.5491692499999999,	-0.0003837995051285022,	1,	
258.33908200263977,	0.5460569799999999,	-0.0003888672170770636,	1,	
258.49318194389343,	0.54293677,	-0.0003891453599812232,	1,	
258.6472818851471,	0.5401314899999999,	-0.000387945008317776,	1,	
258.80138206481934,	0.53704314,	-0.0003925422480142204,	1,	
258.955482006073,	0.53401743,	-0.0003994116079024156,	1,	
259.10958194732666,	0.53091839,	-0.0003957000150460312,	1,	
259.2636818885803,	0.52809937,	-0.000398995494905797,	1,	
259.41778206825256,	0.52501782,	-0.0004057730084403568,	1,	
259.5718820095062,	0.52187293,	-0.0004052120299887409,	1,	
259.7259819507599,	0.51901105,	-0.0004046346923140226,	1,	
259.88008189201355,	0.51588706,	-0.0004211755897517006,	1,	
260.0341818332672,	0.51277381,	-0.0004117525945377077,	1,	
260.18828201293945,	0.50966696,	-0.0004126198643577272,	1,	
260.3423819541931,	0.50669601,	-0.0004201482608621604,	1,	
260.4964818954468,	0.5037934399999999,	-0.000420120504940536,	1,	
260.65058183670044,	0.50066821,	-0.0004182874418677224,	1,	
260.8046820163727,	0.49765074,	-0.0004262432671736042,	1,	
260.95878195762634,	0.49466889999999997,	-0.0004245116662041385,	1,	
261.11288189888,	0.49153024999999995,	-0.0004213532362361233,	1,	
261.26698184013367,	0.48834285,	-0.0004248487528496267,	1,	
261.4210820198059,	0.48549248,	-0.0004293684967074259,	1,	
261.57518196105957,	0.48249009,	-0.000423466319691734,	1,	
261.72928190231323,	0.47923105999999993,	-0.000425460546600456,	1,	
261.8833818435669,	0.47599393999999995,	-0.0004375215860777763,	1,	
262.03748202323914,	0.47304061999999997,	-0.0004275688361868564,	1,	
262.1915819644928,	0.46982989999999997,	-0.0004248816869216118,	1,	
262.34568190574646,	0.46680782,	-0.0004326911788224402,	1,	
262.4997818470001,	0.46368529999999997,	-0.0004258487121036082,	1,	
262.65388202667236,	0.46054321,	-0.000425083077862801,	1,	
262.807981967926,	0.45740615999999995,	-0.0004329269370127713,	1,	
262.9620819091797,	0.45432525999999995,	-0.0004303943664295592,	1,	
263.11618185043335,	0.45100369999999995,	-0.0004279783129688881,	1,	
263.270281791687,	0.44792818999999995,	-0.0004345633858533707,	1,	
263.42438197135925,	0.44494098,	-0.0004345399107931625,	1,	
263.5784819126129,	0.44153319999999996,	-0.000430921685730481,	1,	
263.7325818538666,	0.43839745999999996,	-0.0004364791326118456,	1,	
263.88668179512024,	0.43539892999999996,	-0.0004453250024681679,	1,	
264.0407819747925,	0.43220862,	-0.0004378416632765184,	1,	
264.19488191604614,	0.42914389999999997,	-0.0004419881903733845,	1,	
264.3489818572998,	0.42579956999999996,	-0.0004482098290825602,	1,	
264.50308179855347,	0.42271395999999994,	-0.0004471284080347412,	1,	
264.6571819782257,	0.41973309999999997,	-0.0004484986334034498,	1,	
264.81128191947937,	0.41631054999999995,	-0.0004611486200040091,	1,	
264.96538186073303,	0.41319826,	-0.000457127137102803,	1,	
265.1194818019867,	0.41014554999999997,	-0.0004614912098993549,	1,	
265.27358198165894,	0.40702261999999995,	-0.0004714518918638895,	1,	
265.4276819229126,	0.4037866,	-0.0004741250295172728,	1,	
265.53548192977905,	0.40177092,	-0.0005167774579096472,	1,	
265.57418179512024,	0.40084253999999997,	-0.0003459078181645295,	2,	
265.6588819026947,	0.39924845,	-0.0004818141625524694,	2,	
265.81298184394836,	0.39602427999999995,	-0.0004980561433432923,	2,	
265.967081785202,	0.39295101,	-0.0004972037855922045,	2,	
266.12118196487427,	0.38989827,	-0.0005021668496031015,	2,	
266.27528190612793,	0.38652532999999994,	-0.0005193975620524736,	2,	
266.4293818473816,	0.38359803,	-0.0005229333132135755,	2,	
266.58348178863525,	0.38075142999999995,	-0.0005351179843604652,	2,	
266.7375819683075,	0.37732443,	-0.0005518621717442908,	2,	
266.89168190956116,	0.37410527,	-0.0005627992886007302,	2,	
267.0457818508148,	0.37104377,	-0.0005757969823663028,	2,	
267.1998817920685,	0.3679668,	-0.0005950803198016658,	2,	
267.3539819717407,	0.36469655999999995,	-0.0006120688469056675,	2,	
267.5080819129944,	0.36156331999999997,	-0.0006330430362305097,	2,	
267.66218185424805,	0.35847275999999995,	-0.0006530432982895917,	2,	
267.8162817955017,	0.35580006,	-0.0006906883375716235,	2,	
267.97038173675537,	0.35264515999999996,	-0.0007072054560819264,	2,	
268.1244819164276,	0.34936904999999996,	-0.0007340891299234637,	2,	
268.2785818576813,	0.34635636,	-0.0007685023634966281,	2,	
268.43268179893494,	0.34339802999999997,	-0.0008037471499521896,	2,	
268.5867817401886,	0.34034975999999995,	-0.000837605507274627,	2,	
268.74088191986084,	0.33737933,	-0.0008852336374280314,	2,	
268.8949818611145,	0.33428262999999997,	-0.0009225186578224742,	2,	
269.04908180236816,	0.33150686999999995,	-0.0009749309626357096,	2,	
269.2031817436218,	0.32836081999999994,	-0.00101899585652856,	2,	
269.35728192329407,	0.32517334,	-0.001071684562108162,	2,	
269.51138186454773,	0.32227236,	-0.001129704068763283,	2,	
269.6654818058014,	0.31936767,	-0.001188111347700404,	2,	
269.81958174705505,	0.31601616,	-0.001245016192792284,	2,	
269.9736819267273,	0.31294407999999996,	-0.001304877268785663,	2,	
270.12778186798096,	0.31013891,	-0.00135733118193402,	2,	
270.2818818092346,	0.30703558999999997,	-0.001419068871170909,	2,	
270.4359817504883,	0.30430780999999996,	-0.001492509169404589,	2,	
270.5900819301605,	0.30108574,	-0.001543176288887511,	2,	
270.7441818714142,	0.29836195,	-0.00162163185591039,	2,	
270.89828181266785,	0.29510413999999996,	-0.001687063805157499,	2,	
271.0523817539215,	0.29221921999999995,	-0.001760929433768356,	2,	
271.20648169517517,	0.28890741,	-0.001838641776066623,	2,	
271.3605818748474,	0.28623876,	-0.001924038393069337,	2,	
271.5146818161011,	0.28318751,	-0.00203047720070304,	2,	
271.66878175735474,	0.28013223,	-0.002145855089045856,	2,	
271.8228816986084,	0.27702038999999995,	-0.002227621382152656,	2,	
271.97698187828064,	0.27395135,	-0.002357346001006436,	2,	
272.1310818195343,	0.27117758999999997,	-0.002468721423440453,	2,	
272.28518176078796,	0.26777966999999997,	-0.002594404942726586,	2,	
272.4392817020416,	0.26468940999999996,	-0.002742083992429631,	2,	
272.59338188171387,	0.26196106999999996,	-0.002871193508612077,	2,	
272.74748182296753,	0.258854,	-0.003013167825833572,	2,	
272.9015817642212,	0.25596951999999995,	-0.003161783625642928,	2,	
273.05568170547485,	0.25260105,	-0.003274010659163891,	2,	
273.2097818851471,	0.24962546999999996,	-0.003391993045027315,	2,	
273.36388182640076,	0.24670841999999998,	-0.003509269384043504,	2,	
273.5179817676544,	0.24346732999999998,	-0.003606447329112979,	2,	
273.6720817089081,	0.24018531999999998,	-0.003724333112681432,	2,	
273.8261818885803,	0.23724936999999996,	-0.003706915959365772,	2,	
273.980281829834,	0.23420043999999995,	-0.003756687646688531,	2,	
274.13438177108765,	0.23125513999999997,	-0.003716666853483291,	2,	
274.2884817123413,	0.22813933999999997,	-0.003681419548296816,	2,	
274.44258165359497,	0.22495256999999996,	-0.003671833515710408,	2,	
274.5966818332672,	0.22170099,	-0.003583094970278478,	2,	
274.7507817745209,	0.21875037999999997,	-0.003538121394716424,	2,	
274.90488171577454,	0.21570449999999997,	-0.003508395179629087,	2,	
275.0589816570282,	0.21218307999999997,	-0.003436528875859844,	2,	
275.21308183670044,	0.20905306999999995,	-0.003402504221359397,	2,	
275.3671817779541,	0.20618190999999997,	-0.003414986805842027,	2,	
275.52128171920776,	0.20288697,	-0.003391339766097262,	2,	
275.6753816604614,	0.19961467,	-0.003464917011090498,	2,	
275.82948184013367,	0.19647618999999994,	-0.00344055616872577,	2,	
275.98358178138733,	0.19348504999999994,	-0.003504449541512199,	2,	
276.137681722641,	0.19031538999999997,	-0.003542912801132558,	2,	
276.29178166389465,	0.18700965999999997,	-0.003633204149732591,	2,	
276.4458818435669,	0.18384418000000002,	-0.003757170802870385,	2,	
276.59998178482056,	0.18083932999999996,	-0.003827671075575507,	2,	
276.7540817260742,	0.17781265999999996,	-0.003976137223594689,	2,	
276.9081816673279,	0.17454161999999995,	-0.004150864366981893,	2,	
277.0622818470001,	0.17139753000000002,	-0.004272600961650858,	2,	
277.2163817882538,	0.16825362999999993,	-0.004455223965215943,	2,	
277.37048172950745,	0.16524322999999996,	-0.004691689797912735,	2,	
277.5245816707611,	0.16217180999999992,	-0.004876088449403564,	2,	
277.67868161201477,	0.15865644,	-0.005200950530452421,	2,	
277.832781791687,	0.15559383999999998,	-0.005376388778477062,	2,	
277.9868817329407,	0.15250524999999993,	-0.005618006337163917,	2,	
278.14098167419434,	0.14932944999999997,	-0.005858579498271468,	2,	
278.295081615448,	0.14631697,	-0.006117812481182719,	2,	
278.44918179512024,	0.14299430999999996,	-0.006393900434194272,	2,	
278.6032817363739,	0.14004596999999996,	-0.006638569855369751,	2,	
278.75738167762756,	0.13692346,	-0.006859150252631594,	2,	
278.9114816188812,	0.13350363999999992,	-0.007123293785519225,	2,	
279.06558179855347,	0.13054599999999994,	-0.007253179925299669,	2,	
279.21968173980713,	0.12745425,	-0.007459346481963836,	2,	
279.3737816810608,	0.12446274999999996,	-0.007627521867319298,	2,	
279.52788162231445,	0.12126811999999998,	-0.007833585150890632,	2,	
279.6819818019867,	0.11807384999999992,	-0.007943813373680553,	2,	
279.83608174324036,	0.11528857999999997,	-0.007937030806591396,	2,	
279.990181684494,	0.11218174999999997,	-0.00791332694750612,	2,	
280.1442816257477,	0.10908863000000002,	-0.007822736723647722,	2,	
280.2983818054199,	0.10605659999999995,	-0.007759190496762408,	2,	
280.4524817466736,	0.10287590999999996,	-0.007609693570740761,	2,	
280.60658168792725,	0.09968080999999995,	-0.007474671632707486,	2,	
280.7606816291809,	0.09696318999999998,	-0.007285855217808102,	2,	
280.91478180885315,	0.09356971999999997,	-0.007183955824420385,	2,	
281.0688817501068,	0.09066476999999995,	-0.006982088570451451,	2,	
281.2229816913605,	0.08768942999999996,	-0.006865256105886224,	2,	
281.37708163261414,	0.08480181999999992,	-0.006811342044638707,	2,	
281.5311815738678,	0.08192887999999998,	-0.006677643386757948,	2,	
281.68528175354004,	0.07866224,	-0.006637985696194088,	2,	
281.8393816947937,	0.07563009999999992,	-0.006676005257100808,	2,	
281.99348163604736,	0.07281311999999995,	-0.006656612356291031,	2,	
282.147581577301,	0.06994237999999997,	-0.00672757774468781,	2,	
282.30168175697327,	0.06670429999999994,	-0.006900212212089172,	2,	
282.45578169822693,	0.06365265999999992,	-0.0070650568105794,	2,	
282.6098816394806,	0.06069715999999992,	-0.007348571121824798,	2,	
282.76398158073425,	0.05777838000000002,	-0.00771494500779385,	2,	
282.9180817604065,	0.05474420999999996,	-0.00819673221640535,	2,	
283.07218170166016,	0.05131258999999999,	-0.00877988021406631,	2,	
283.2262816429138,	0.048638609999999916,	-0.009573655482645937,	2,	
283.3803815841675,	0.04571356999999998,	-0.01055859177920293,	2,	
283.5344817638397,	0.04260286000000002,	-0.01183941588413417,	2,	
283.6885817050934,	0.03931262999999996,	-0.01326530113825736,	2,	
283.7964816093445,	0.03762074999999998,	-0.01450342707789515,	2,	
283.82098174095154,	0.0365335,	-0.01500433403998613,	2,	
283.83638167381287,	0.03702947000000001,	-0.01422370561709013,	2,	
283.921181678772,	0.038955829999999914,	-0.006536127090858797,	2,	
284.07528162002563,	0.04225309999999993,	-0.0003035514983210092,	2,	
284.2293815612793,	0.04516114999999998,	0.001995274639426711,	2,	
284.38348174095154,	0.04828038000000001,	0.00312105676997745,	2,	
284.5375816822052,	0.05150701999999996,	0.003668093912046269,	2,	
284.69168162345886,	0.054618029999999984,	0.003941708290465099,	2,	
284.8457815647125,	0.05762477999999993,	0.004090761831328907,	2,	
284.99988174438477,	0.060651629999999956,	0.00412405755273984,	2,	
285.1539816856384,	0.06410571999999992,	0.00413942431261846,	2,	
285.3080816268921,	0.06710490000000002,	0.004146962773991972,	2,	
285.46218156814575,	0.07008608999999999,	0.004145535379127221,	2,	
285.616281747818,	0.0731385,	0.004130977647554414,	2,	
285.77038168907166,	0.07645252000000002,	0.004158800298630388,	2,	
285.9244816303253,	0.07940091999999999,	0.004243782619572083,	2,	
286.078581571579,	0.08248420999999995,	0.004248703712215071,	2,	
286.23268151283264,	0.08536663,	0.00433497437266761,	2,	
286.3867816925049,	0.08867146999999997,	0.004471177259927184,	2,	
286.54088163375854,	0.09181251999999995,	0.00453241500320244,	2,	
286.6949815750122,	0.09475895000000001,	0.004653958111919456,	2,	
286.84908151626587,	0.09744646999999995,	0.004856628913570353,	2,	
287.0031816959381,	0.10057350999999992,	0.004965812297661978,	2,	
287.1572816371918,	0.10358181,	0.005163990748845049,	2,	
287.31138157844543,	0.10670963,	0.00537016347391555,	2,	
287.4654815196991,	0.10986121999999998,	0.005557541936765234,	2,	
287.61958169937134,	0.11246206999999997,	0.005697710292650413,	2,	
287.773681640625,	0.11554076999999996,	0.005911561070021706,	2,	
287.92778158187866,	0.11874779999999996,	0.006070920797148709,	2,	
288.0818815231323,	0.12207247999999993,	0.006219270637462935,	2,	
288.23598170280457,	0.12491311999999999,	0.006228471383743855,	2,	
288.3900816440582,	0.12761320999999992,	0.006278989389949781,	2,	
288.5441815853119,	0.13091810999999998,	0.006179182971311675,	2,	
288.69828152656555,	0.13386615999999996,	0.006163666942263244,	2,	
288.8523817062378,	0.13702145,	0.00616164168796992,	2,	
289.00648164749146,	0.13979693999999998,	0.006023634255484314,	2,	
289.1605815887451,	0.14286955999999995,	0.005935487003826317,	2,	
289.3146815299988,	0.14591321000000002,	0.005855996930014637,	2,	
289.46878147125244,	0.14884319999999995,	0.005673504316149006,	2,	
289.6228816509247,	0.15188201999999995,	0.005548748533278844,	2,	
289.77698159217834,	0.15481075,	0.005420288415776894,	2,	
289.931081533432,	0.1580089,	0.005216985934790488,	2,	
290.08518147468567,	0.16121098,	0.005123556798650467,	2,	
290.2392816543579,	0.16384109000000002,	0.004846724830766078,	2,	
290.3933815956116,	0.16691561999999993,	0.004670104211418016,	2,	
290.54748153686523,	0.17023924000000001,	0.004469194347875412,	2,	
290.7015814781189,	0.17292770000000002,	0.004318083293259445,	2,	
290.85568165779114,	0.1762028,	0.004217690656312389,	2,	
291.0097815990448,	0.17915137999999997,	0.004047513108944079,	2,	
291.16388154029846,	0.18216433999999992,	0.003947318707030717,	2,	
291.3179814815521,	0.18526019999999999,	0.00389649459048455,	2,	
291.47208166122437,	0.18845643999999995,	0.003792222303674569,	2,	
291.626181602478,	0.19138714,	0.003735729350721057,	2,	
291.7802815437317,	0.19443698999999992,	0.003737944530328961,	2,	
291.93438148498535,	0.19767077999999993,	0.003652651016951447,	2,	
292.0884816646576,	0.20064123999999994,	0.003668870674989416,	2,	
292.24258160591125,	0.20396134,	0.003614213837237173,	2,	
292.3966815471649,	0.20677866999999994,	0.003547697441899686,	2,	
292.5507814884186,	0.21026720999999993,	0.003497621966852976,	2,	
292.70488142967224,	0.21329971999999997,	0.003492667759978522,	2,	
292.8589816093445,	0.21633376999999998,	0.003464791178780079,	2,	
293.01308155059814,	0.21938421999999996,	0.003467234777322589,	2,	
293.1671814918518,	0.22250848999999995,	0.003454431469392193,	2,	
293.32128143310547,	0.22599217,	0.003520289836697228,	2,	
293.4753816127777,	0.22897925999999996,	0.003513235535440737,	2,	
293.6294815540314,	0.23196107,	0.003553419821481749,	2,	
293.78358149528503,	0.23500147,	0.003625127811721085,	2,	
293.9376814365387,	0.23827337999999998,	0.003651198355475213,	2,	
294.09178161621094,	0.24139215999999997,	0.003662520690530087,	2,	
294.2458815574646,	0.24472338,	0.003699346954378041,	2,	
294.39998149871826,	0.24765648999999995,	0.003645478919858683,	2,	
294.5540814399719,	0.25070718,	0.003615498596536579,	2,	
294.70818161964417,	0.25419991999999997,	0.003589269464454222,	2,	
294.8622815608978,	0.25720175999999995,	0.003504213021889864,	2,	
295.0163815021515,	0.26027556999999996,	0.003412967701613805,	2,	
295.17048144340515,	0.26333597,	0.003327762252721606,	2,	
295.3245816230774,	0.26669268999999995,	0.003208965331174662,	2,	
295.47868156433105,	0.2697882,	0.003083529079511219,	2,	
295.6327815055847,	0.27290222,	0.002962510340905469,	2,	
295.7868814468384,	0.27613224999999997,	0.002865225943462252,	2,	
295.9409816265106,	0.27935031,	0.002753044201842619,	2,	
296.0950815677643,	0.28222306999999996,	0.002589899086535756,	2,	
296.24918150901794,	0.28559496999999995,	0.002490760072983783,	2,	
296.4032814502716,	0.2885831,	0.002356047511997595,	2,	
296.55738139152527,	0.29172852,	0.002238868771941675,	2,	
296.7114815711975,	0.29501723999999996,	0.002155429846508024,	2,	
296.8655815124512,	0.29813966,	0.00203076444964418,	2,	
297.01968145370483,	0.30113342,	0.001938759737645884,	2,	
297.1737813949585,	0.30436217,	0.001856405195598744,	2,	
297.32788157463074,	0.30752313,	0.001762497520699499,	2,	
297.4819815158844,	0.31060775999999996,	0.001673231722898817,	2,	
297.63608145713806,	0.31355244,	0.001608283925440785,	2,	
297.7901813983917,	0.31686182999999996,	0.001521828573802186,	2,	
297.94428157806396,	0.31977993,	0.001476093886524338,	2,	
298.0983815193176,	0.32303834,	0.00137444455374003,	2,	
298.2524814605713,	0.32572341,	0.001315811119178854,	2,	
298.40658140182495,	0.3289254,	0.001236992427972788,	2,	
298.5606815814972,	0.33209078999999997,	0.001169636287992331,	2,	
298.71478152275085,	0.33515036,	0.001112080297472101,	2,	
298.8688814640045,	0.33806823999999996,	0.001052220980996409,	2,	
299.0229814052582,	0.34099610999999996,	0.0009852667566323057,	2,	
299.1770815849304,	0.34425965,	0.0009398152812022803,	2,	
299.3311815261841,	0.34722495,	0.0008858471434020699,	2,	
299.48528146743774,	0.35015228,	0.0008383710590585589,	2,	
299.6393814086914,	0.35288625999999995,	0.0007980927814445031,	2,	
299.79348134994507,	0.35626849,	0.0007615276332944621,	2,	
299.9475815296173,	0.35916709999999996,	0.0007333296665448866,	2,	
300.101681470871,	0.36217488999999997,	0.0006948968357263722,	2,	
300.25578141212463,	0.36504646999999996,	0.0006664885629717836,	2,	
300.4098813533783,	0.36801448,	0.0006441971226865597,	2,	
300.56398153305054,	0.37111571,	0.0006164063901305233,	2,	
300.7180814743042,	0.37421446999999997,	0.000601687394949528,	2,	
300.87218141555786,	0.37733083999999995,	0.0005865592069093668,	2,	
301.0262813568115,	0.38030949,	0.0005673574648269809,	2,	
301.18038153648376,	0.38342698999999997,	0.0005565346576255469,	2,	
301.3344814777374,	0.38640876999999996,	0.0005477672565253637,	2,	
301.4885814189911,	0.38939603999999994,	0.0005348981593102861,	2,	
301.64268136024475,	0.39238932,	0.0005257502147060977,	2,	
301.796781539917,	0.39532268,	0.0005214549275297693,	2,	
301.95088148117065,	0.39842498,	0.000519000707138461,	2,	
302.1049814224243,	0.40128116999999996,	0.0005077555728928342,	2,	
302.259081363678,	0.40451792,	0.0005050488234657376,	2,	
302.4131815433502,	0.40744446999999995,	0.0005044907991301941,	2,	
302.5672814846039,	0.41045924999999994,	0.0004988676471878967,	2,	
302.72138142585754,	0.41346055,	0.0004939207805747959,	2,	
302.8754813671112,	0.41656485,	0.0005012063716285796,	2,	
303.02958130836487,	0.41954133,	0.0004934896010219091,	2,	
303.1836814880371,	0.42265992999999996,	0.000490537149032657,	2,	
303.33778142929077,	0.42581527999999996,	0.0004960677671376843,	2,	
303.49188137054443,	0.42860444999999997,	0.0004951580952296183,	2,	
303.6459813117981,	0.43159231,	0.0004899770396017307,	2,	
303.80008149147034,	0.43494533999999996,	0.0004988549475166363,	2,	
303.954181432724,	0.4382255,	0.0004978952928508906,	2,	
304.10828137397766,	0.44122796999999997,	0.0004933400578105152,	2,	
304.2623813152313,	0.44408257999999995,	0.000493529312415741,	2,	
304.41648149490356,	0.44742476999999997,	0.0005027435390271909,	2,	
304.5705814361572,	0.45062707999999996,	0.0004992579241304236,	2,	
304.7246813774109,	0.45359610999999994,	0.0004967518109280237,	2,	
304.87878131866455,	0.45666440999999997,	0.0005067786437665022,	2,	
305.0328814983368,	0.45984160999999996,	0.0005092668612878262,	2,	
305.18698143959045,	0.46298348999999994,	0.000502545725777629,	2,	
305.3410813808441,	0.46626413999999994,	0.0005118939692134918,	2,	
305.4951813220978,	0.46904225,	0.0005149945361619104,	2,	
305.64928150177,	0.47241956999999996,	0.0005108888331021959,	2,	
305.8033814430237,	0.47550238,	0.0005231609605618496,	2,	
305.95748138427734,	0.47876259,	0.000528124744496383,	2,	
306.111581325531,	0.48185581999999993,	0.0005237869983642589,	2,	
306.26568126678467,	0.48502402,	0.0005248562901543196,	2,	
306.4197814464569,	0.48799001999999997,	0.0005365415187368267,	2,	
306.57388138771057,	0.49147514999999997,	0.0005392482878816543,	2,	
306.72798132896423,	0.494494,	0.0005357648127525365,	2,	
306.8820812702179,	0.49744831,	0.0005494636782205748,	2,	
307.03618144989014,	0.50087361,	0.0005536668717683497,	2,	
307.1902813911438,	0.5040234299999999,	0.0005487997189899483,	2,	
307.34438133239746,	0.5071938,	0.0005596012101658256,	2,	
307.4984812736511,	0.50996689,	0.0005715905382634567,	2,	
307.65258145332336,	0.51328718,	0.0005647512546439783,	2,	
307.806681394577,	0.5164074399999999,	0.0005776525589294475,	2,	
307.9607813358307,	0.5195585,	0.0005847534871931213,	2,	
308.11488127708435,	0.52251306,	0.0005859707550681563,	2,	
308.2689814567566,	0.5259600799999999,	0.0005883079103430786,	2,	
308.42308139801025,	0.5290489599999999,	0.0006034814074115467,	2,	
308.5771813392639,	0.53207883,	0.0006078996617554511,	2,	
308.7312812805176,	0.53543122,	0.0006073483817418384,	2,	
308.8853814601898,	0.53825207,	0.000619947549391757,	2,	
309.0394814014435,	0.5415665,	0.0006312164600321924,	2,	
309.19358134269714,	0.54473924,	0.0006259119461363531,	2,	
309.3476812839508,	0.54776542,	0.000639020602124991,	2,	
309.50178146362305,	0.55095593,	0.0006529476354688933,	2,	
309.6558814048767,	0.5537820099999999,	0.0006517943510600983,	2,	
309.80998134613037,	0.5573716099999999,	0.0006653406668309051,	2,	
309.96408128738403,	0.5602999,	0.0006803102223756387,	2,	
310.1181812286377,	0.5630757799999999,	0.0006806186844210708,	2,	
310.27228140830994,	0.5659031699999999,	0.0006863599169625138,	2,	
310.4263813495636,	0.56950545,	0.0007043581710015632,	2,	
310.58048129081726,	0.57229602,	0.0007157810397786027,	2,	
310.7345812320709,	0.57545651,	0.0007192344720716431,	2,	
310.88868141174316,	0.57856272,	0.0007366723385906215,	2,	
311.0427813529968,	0.58158244,	0.0007536088230869688,	2,	
311.1968812942505,	0.58444367,	0.0007568704053427158,	2,	
311.35098123550415,	0.5875863699999999,	0.0007731482486663249,	2,	
311.5050814151764,	0.5904836099999999,	0.0007987731534179528,	2,	
311.65918135643005,	0.59336848,	0.0008039393324675917,	2,	
311.8132812976837,	0.5966941499999999,	0.0008230285978106273,	2,	
311.9673812389374,	0.59979399,	0.0008483396850413544,	2,	
312.1214814186096,	0.6025486,	0.0008631664911467347,	2,	
312.2755813598633,	0.60554109,	0.0008769800945739228,	2,	
312.42968130111694,	0.6085535599999999,	0.0009094238985138565,	2,	
312.5837812423706,	0.6115537,	0.000930226629958366,	2,	
312.73788142204285,	0.61470475,	0.0009495095393504006,	2,	
312.8919813632965,	0.6176797789999999,	0.0009781428834403569,	2,	
313.04608130455017,	0.620724533,	0.00101508469877362,	2,	
313.20018124580383,	0.623791825,	0.001035121288446305,	2,	
313.3542811870575,	0.627014551,	0.001069568915840208,	2,	
313.50838136672974,	0.6297206989999999,	0.001113286326742374,	2,	
313.6624813079834,	0.6327916499999999,	0.001150582351940989,	2,	
313.81658124923706,	0.6359632799999999,	0.001181655095643053,	2,	
313.9706811904907,	0.638759505,	0.001232809199897669,	2,	
314.12478137016296,	0.6419295039999999,	0.001271080216427006,	2,	
314.2788813114166,	0.6446902489999999,	0.001308242123546691,	2,	
314.4329812526703,	0.6478480289999999,	0.00136059254551235,	2,	
314.58708119392395,	0.650773626,	0.001407673230127404,	2,	
314.7411813735962,	0.654177122,	0.001445683061643591,	2,	
314.89528131484985,	0.6568506439999999,	0.001494400831160713,	2,	
315.0493812561035,	0.659937821,	0.001538456678659308,	2,	
315.2034811973572,	0.663378079,	0.00157292522446908,	2,	
315.3575813770294,	0.6660566929999999,	0.001605598860092396,	2,	
315.5116813182831,	0.6691594009999999,	0.001649486763814559,	2,	
315.66578125953674,	0.672204904,	0.001680381827756091,	2,	
315.8198812007904,	0.675538458,	0.001699300614634049,	2,	
315.97398138046265,	0.678417761,	0.001732041629159957,	2,	
316.1280813217163,	0.681680124,	0.001751470123212171,	2,	
