ixdat version = 0.2.7.dev1
name = 2022-07-19 10_02_32 HER_OER_calibration AND HER_OER_calibration_01_01_CVA.mpt AND HER_OER_calibration_01_02_CP.mpt AND HER_OER_calibration_01_03_CVA.mpt AND HER_OER_calibration_01_04_CP.mpt
technique = EC-MS
tstamp = 1658217752.0
backend_name = BackendBase(none, address=none)
id = 16
timecol 'time/s' for: 'Ewe/V' and '<I>/mA' and 'selector'
timecol 'C6M44 time [s]' for: 'M44'
timecol 'C3M28 time [s]' for: 'M28'
timecol 'C4M32 time [s]' for: 'M32'
timecol 'C1M4 time [s]' for: 'M4'
timecol 'C0M2 time [s]' for: 'M2'
timecol 'C5M40 time [s]' for: 'M40'
timecol 'C2M18 time [s]' for: 'M18'
aliases = {"M2": ["M2 [A]"], "M4": ["M4 [A]"], "M18": ["M18 [A]"], "M28": ["M28 [A]"], "M32": ["M32 [A]"], "M40": ["M40 [A]"], "M44": ["M44 [A]"], "t": ["time/s"], "raw_potential": ["Ewe/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"]}
N_header_lines = 18

time/s,	Ewe/V,	<I>/mA,	selector,	C6M44 time [s],	M44,	C3M28 time [s],	M28,	C4M32 time [s],	M32,	C1M4 time [s],	M4,	C0M2 time [s],	M2,	C5M40 time [s],	M40,	C2M18 time [s],	M18
5003.565195083618,	1.4770573,	0.0001319332345346127,	0,	5015.227999925613,	3.772358e-13,	5015.005000114441,	9.309173e-13,	5015.078999996185,	4.076784e-12,	5014.855999946594,	4.890998e-10,	5014.7809998989105,	8.512214e-12,	5015.154000043869,	2.559996e-14,	5014.930000066757,	3.236201e-11
5003.898295164108,	1.4702584,	0.0001007680363996832,	0,	5016.684000015259,	3.804232e-13,	5016.460000038147,	9.247898e-13,	5016.535000085831,	3.929587e-12,	5016.311000108719,	4.901546e-10,	5016.236999988556,	8.520602e-12,	5016.608999967575,	2.74589e-14,	5016.385999917984,	3.225844e-11
5004.231495141983,	1.4637166,	8.056116137762203e-05,	0,	5018.138999938965,	3.639438e-13,	5017.914999961853,	9.362876e-13,	5017.990000009537,	3.81782e-12,	5017.766000032425,	4.911879e-10,	5017.691999912262,	8.511023e-12,	5018.063999891281,	2.594826e-14,	5017.841000080109,	3.234625e-11
5004.564594984055,	1.45702,	5.583368238195295e-05,	0,	5019.5940001010895,	3.595739e-13,	5019.371000051498,	9.134659e-13,	5019.444999933243,	3.747402e-12,	5019.221999883652,	4.912596e-10,	5019.147000074387,	8.538843e-12,	5019.5199999809265,	3.220549e-14,	5019.296000003815,	3.234189e-11
5004.897795200348,	1.4502627,	3.773000695279796e-05,	0,	5021.0490000247955,	3.566012e-13,	5020.8259999752045,	9.372393e-13,	5020.900000095367,	3.662232e-12,	5020.677000045776,	4.906213e-10,	5020.601999998093,	8.511004e-12,	5020.974999904633,	4.335915e-14,	5020.750999927521,	3.2228e-11
5005.230995178223,	1.4435925,	2.059738325260038e-05,	0,	5022.503999948502,	3.622388e-13,	5022.2809998989105,	9.263369e-13,	5022.3550000190735,	3.566749e-12,	5022.131999969482,	4.915717e-10,	5022.056999921799,	8.532387e-12,	5022.430000066757,	3.723557e-14,	5022.206000089645,	3.231693e-11
5005.564095020294,	1.4370468,	2.666666372557426e-06,	0,	5023.960000038147,	3.504736e-13,	5023.736000061035,	9.240324e-13,	5023.811000108719,	3.485454e-12,	5023.5869998931885,	4.906682e-10,	5023.513000011444,	8.565496e-12,	5023.884999990463,	2.699316e-14,	5023.661999940872,	3.228525e-11
5005.897294998169,	1.4303898,	-1.026470706430868e-05,	0,	5025.414999961853,	3.593147e-13,	5025.190999984741,	9.286616e-13,	5025.266000032425,	3.43962e-12,	5025.042000055313,	4.902364e-10,	5024.96799993515,	8.547396e-12,	5025.339999914169,	3.068269e-14,	5025.117000102997,	3.233215e-11
5006.230395078659,	1.4237741,	-2.559088612935027e-05,	0,	5026.869999885559,	3.546207e-13,	5026.647000074387,	9.407347e-13,	5026.720999956131,	3.404713e-12,	5026.49799990654,	4.915469e-10,	5026.423000097275,	8.566436e-12,	5026.796000003815,	2.216557e-14,	5026.572000026703,	3.224388e-11
5006.563595056534,	1.4170358,	-3.31113794884764e-05,	0,	5028.323999881744,	3.528387e-13,	5028.101000070572,	9.275802e-13,	5028.174999952316,	3.343899e-12,	5027.951999902725,	4.920849e-10,	5027.87700009346,	8.580804e-12,	5028.25,	5.087187e-14,	5028.026000022888,	3.220602e-11
